"Step","test-model_082337 - Train RMSE (meters)","test-model_082337 - Train RMSE (meters)__MIN","test-model_082337 - Train RMSE (meters)__MAX","test-model_080952 - Train RMSE (meters)","test-model_080952 - Train RMSE (meters)__MIN","test-model_080952 - Train RMSE (meters)__MAX","test-model_060949 - Train RMSE (meters)","test-model_060949 - Train RMSE (meters)__MIN","test-model_060949 - Train RMSE (meters)__MAX","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"1","10131.49354654903","10131.49354654903","10131.49354654903","7379.757688157463","7379.757688157463","7379.757688157463","3556.965108751274","3556.965108751274","3556.965108751274","15023.021515687695","15023.021515687695","15023.021515687695"
"3","8574.317462326851","8574.317462326851","8574.317462326851","7150.710114648599","7150.710114648599","7150.710114648599","4765.458494936018","4765.458494936018","4765.458494936018","14171.70444373277","14171.70444373277","14171.70444373277"
"5","7880.953158325193","7880.953158325193","7880.953158325193","","","","","","","","",""
"7","6184.176968742987","6184.176968742987","6184.176968742987","5913.5677478406205","5913.5677478406205","5913.5677478406205","5292.579664730856","5292.579664730856","5292.579664730856","9033.376331215282","9033.376331215282","9033.376331215282"
"9","7523.926874487842","7523.926874487842","7523.926874487842","4281.244110883017","4281.244110883017","4281.244110883017","2841.440158753892","2841.440158753892","2841.440158753892","14376.037394367253","14376.037394367253","14376.037394367253"
"11","7345.679009501179","7345.679009501179","7345.679009501179","7134.209319574877","7134.209319574877","7134.209319574877","1507.6000503730374","1507.6000503730374","1507.6000503730374","15468.921082446443","15468.921082446443","15468.921082446443"
"13","10546.561342449726","10546.561342449726","10546.561342449726","","","","","","","","",""
"15","10027.538171361239","10027.538171361239","10027.538171361239","7261.942268530825","7261.942268530825","7261.942268530825","4552.864940183415","4552.864940183415","4552.864940183415","15055.8457297733","15055.8457297733","15055.8457297733"
"17","9208.108935203927","9208.108935203927","9208.108935203927","5110.178799645798","5110.178799645798","5110.178799645798","3605.5197996284382","3605.5197996284382","3605.5197996284382","16486.303569195596","16486.303569195596","16486.303569195596"
"19","10375.412438708905","10375.412438708905","10375.412438708905","7681.220071484432","7681.220071484432","7681.220071484432","2844.5181647515483","2844.5181647515483","2844.5181647515483","10881.67877754764","10881.67877754764","10881.67877754764"
