"Step","test-model_082337 - Val RMSE Validación (metros)","test-model_082337 - Val RMSE Validación (metros)__MIN","test-model_082337 - Val RMSE Validación (metros)__MAX","test-model_080952 - Val RMSE Validación (metros)","test-model_080952 - Val RMSE Validación (metros)__MIN","test-model_080952 - Val RMSE Validación (metros)__MAX","test-model_060949 - Val RMSE Validación (metros)","test-model_060949 - Val RMSE Validación (metros)__MIN","test-model_060949 - Val RMSE Validación (metros)__MAX","test-model_051324 - Val RMSE Validación (metros)","test-model_051324 - Val RMSE Validación (metros)__MIN","test-model_051324 - Val RMSE Validación (metros)__MAX"
"262","6656.774353994583","6656.774353994583","6656.774353994583","5593.276583797474","5593.276583797474","5593.276583797474","2506.4976570429712","2506.4976570429712","2506.4976570429712","12019.357735792391","12019.357735792391","12019.357735792391"
"787","4550.607796139513","4550.607796139513","4550.607796139513","3814.4632840332984","3814.4632840332984","3814.4632840332984","2379.45742865089","2379.45742865089","2379.45742865089","9643.688314372353","9643.688314372353","9643.688314372353"
"1312","2887.816536350439","2887.816536350439","2887.816536350439","3547.128381152979","3547.128381152979","3547.128381152979","2377.958357999768","2377.958357999768","2377.958357999768","6216.670428697956","6216.670428697956","6216.670428697956"
"1837","3615.8429489708237","3615.8429489708237","3615.8429489708237","4706.199597086703","4706.199597086703","4706.199597086703","2298.896985512835","2298.896985512835","2298.896985512835","2729.260145690979","2729.260145690979","2729.260145690979"
"2362","2985.451293953969","2985.451293953969","2985.451293953969","2891.99432567941","2891.99432567941","2891.99432567941","2394.480529209186","2394.480529209186","2394.480529209186","3025.7951729374263","3025.7951729374263","3025.7951729374263"
"2887","2914.548986590909","2914.548986590909","2914.548986590909","2919.791916917238","2919.791916917238","2919.791916917238","2263.248438691187","2263.248438691187","2263.248438691187","2111.6704784420813","2111.6704784420813","2111.6704784420813"
"3412","3112.040867646947","3112.040867646947","3112.040867646947","2562.732638684916","2562.732638684916","2562.732638684916","2409.814978325495","2409.814978325495","2409.814978325495","2021.4368036598314","2021.4368036598314","2021.4368036598314"
"3937","2960.6926699193696","2960.6926699193696","2960.6926699193696","2652.1380988248134","2652.1380988248134","2652.1380988248134","2279.353084132175","2279.353084132175","2279.353084132175","1961.7291819548725","1961.7291819548725","1961.7291819548725"
"4462","2986.594317788678","2986.594317788678","2986.594317788678","2472.548428915667","2472.548428915667","2472.548428915667","2316.416190296266","2316.416190296266","2316.416190296266","1850.2431191602902","1850.2431191602902","1850.2431191602902"
"4987","2844.6100142784658","2844.6100142784658","2844.6100142784658","2537.864138310759","2537.864138310759","2537.864138310759","2426.1998553489443","2426.1998553489443","2426.1998553489443","1728.9638019841332","1728.9638019841332","1728.9638019841332"
"5512","2866.3613228853987","2866.3613228853987","2866.3613228853987","2566.228707841992","2566.228707841992","2566.228707841992","2256.0073924439844","2256.0073924439844","2256.0073924439844","1950.5259371253717","1950.5259371253717","1950.5259371253717"
"6037","2937.7654887118997","2937.7654887118997","2937.7654887118997","2419.8926392950343","2419.8926392950343","2419.8926392950343","2254.7148906447655","2254.7148906447655","2254.7148906447655","1773.612824824221","1773.612824824221","1773.612824824221"
"6562","2825.5273591212767","2825.5273591212767","2825.5273591212767","2300.8458717600442","2300.8458717600442","2300.8458717600442","2364.848933814146","2364.848933814146","2364.848933814146","1921.890492272053","1921.890492272053","1921.890492272053"
"7087","2996.4043166053925","2996.4043166053925","2996.4043166053925","2411.0413912822382","2411.0413912822382","2411.0413912822382","2168.095251927039","2168.095251927039","2168.095251927039","1930.0478380451757","1930.0478380451757","1930.0478380451757"
"7612","2869.10686119433","2869.10686119433","2869.10686119433","2355.52638440308","2355.52638440308","2355.52638440308","2190.786706619065","2190.786706619065","2190.786706619065","1816.8000657389484","1816.8000657389484","1816.8000657389484"
"8137","3250.5923811778416","3250.5923811778416","3250.5923811778416","2377.7869753196983","2377.7869753196983","2377.7869753196983","2235.4444975190268","2235.4444975190268","2235.4444975190268","1740.247462219642","1740.247462219642","1740.247462219642"
"8662","2820.2620757990694","2820.2620757990694","2820.2620757990694","2223.154342049024","2223.154342049024","2223.154342049024","2049.6335166026515","2049.6335166026515","2049.6335166026515","1736.4804164191264","1736.4804164191264","1736.4804164191264"
"9187","2820.147740979607","2820.147740979607","2820.147740979607","2339.0694568160056","2339.0694568160056","2339.0694568160056","2086.5837990829023","2086.5837990829023","2086.5837990829023","1821.8476005862578","1821.8476005862578","1821.8476005862578"
"9712","2914.014940151915","2914.014940151915","2914.014940151915","2384.7597932346503","2384.7597932346503","2384.7597932346503","2296.9859168878143","2296.9859168878143","2296.9859168878143","1657.324529065704","1657.324529065704","1657.324529065704"
"10237","2825.6386905483528","2825.6386905483528","2825.6386905483528","2131.4037461651105","2131.4037461651105","2131.4037461651105","2115.335535536097","2115.335535536097","2115.335535536097","1723.6662842684514","1723.6662842684514","1723.6662842684514"
"10762","2824.0261313373485","2824.0261313373485","2824.0261313373485","2134.46724757078","2134.46724757078","2134.46724757078","2086.205403172514","2086.205403172514","2086.205403172514","1629.5048189511804","1629.5048189511804","1629.5048189511804"
"11287","2856.764516021578","2856.764516021578","2856.764516021578","2116.5500050340233","2116.5500050340233","2116.5500050340233","2302.858932650994","2302.858932650994","2302.858932650994","1644.2232121669404","1644.2232121669404","1644.2232121669404"
"11812","2837.714348102813","2837.714348102813","2837.714348102813","2126.9472232465455","2126.9472232465455","2126.9472232465455","1992.469511701377","1992.469511701377","1992.469511701377","1635.9767842761328","1635.9767842761328","1635.9767842761328"
"12337","2834.1236455199405","2834.1236455199405","2834.1236455199405","2083.9858921810205","2083.9858921810205","2083.9858921810205","2043.0784030506281","2043.0784030506281","2043.0784030506281","1613.0219668300215","1613.0219668300215","1613.0219668300215"
"12862","2832.563161990685","2832.563161990685","2832.563161990685","2129.5144967026326","2129.5144967026326","2129.5144967026326","2256.831639183359","2256.831639183359","2256.831639183359","1592.5675028677674","1592.5675028677674","1592.5675028677674"
"13387","2836.8008981446487","2836.8008981446487","2836.8008981446487","2071.4088413674494","2071.4088413674494","2071.4088413674494","2150.9336887345767","2150.9336887345767","2150.9336887345767","1578.3321484508047","1578.3321484508047","1578.3321484508047"
"13912","2843.9712291760184","2843.9712291760184","2843.9712291760184","2101.149081101078","2101.149081101078","2101.149081101078","2074.14183803464","2074.14183803464","2074.14183803464","1598.8860613339452","1598.8860613339452","1598.8860613339452"
"14437","2827.191218455923","2827.191218455923","2827.191218455923","2165.9746059327167","2165.9746059327167","2165.9746059327167","2023.48299968149","2023.48299968149","2023.48299968149","1597.711623935599","1597.711623935599","1597.711623935599"
"14962","2820.207960079405","2820.207960079405","2820.207960079405","2098.706207949132","2098.706207949132","2098.706207949132","2028.3500317229461","2028.3500317229461","2028.3500317229461","1614.5661764372614","1614.5661764372614","1614.5661764372614"
"15487","2844.07298375143","2844.07298375143","2844.07298375143","2013.9733713423796","2013.9733713423796","2013.9733713423796","2048.90238211306","2048.90238211306","2048.90238211306","1569.3256273643085","1569.3256273643085","1569.3256273643085"
"16012","2873.1570706073403","2873.1570706073403","2873.1570706073403","2043.185808975777","2043.185808975777","2043.185808975777","1937.540538439193","1937.540538439193","1937.540538439193","1585.7436114298164","1585.7436114298164","1585.7436114298164"
"16537","2820.217351468466","2820.217351468466","2820.217351468466","2028.9185264334203","2028.9185264334203","2028.9185264334203","1985.2796036734737","1985.2796036734737","1985.2796036734737","1580.387773014977","1580.387773014977","1580.387773014977"
"17062","3048.734604014309","3048.734604014309","3048.734604014309","2007.4038327200253","2007.4038327200253","2007.4038327200253","2045.205750506477","2045.205750506477","2045.205750506477","1566.880249625563","1566.880249625563","1566.880249625563"
"17587","2821.3403824372963","2821.3403824372963","2821.3403824372963","2000.568541511566","2000.568541511566","2000.568541511566","2032.6248500282538","2032.6248500282538","2032.6248500282538","1582.7565596399636","1582.7565596399636","1582.7565596399636"
"18112","2883.883145212041","2883.883145212041","2883.883145212041","2042.209545705687","2042.209545705687","2042.209545705687","2006.2833062062557","2006.2833062062557","2006.2833062062557","1623.4480922817747","1623.4480922817747","1623.4480922817747"
"18637","2844.665506321814","2844.665506321814","2844.665506321814","2045.3030349466324","2045.3030349466324","2045.3030349466324","1959.3567518326981","1959.3567518326981","1959.3567518326981","1585.0129262842293","1585.0129262842293","1585.0129262842293"
"19162","2823.5934129942934","2823.5934129942934","2823.5934129942934","1999.6600944884567","1999.6600944884567","1999.6600944884567","1935.9257272500336","1935.9257272500336","1935.9257272500336","1598.2541606092448","1598.2541606092448","1598.2541606092448"
"19687","2823.0397241145174","2823.0397241145174","2823.0397241145174","1953.9412112811524","1953.9412112811524","1953.9412112811524","1934.5828254001774","1934.5828254001774","1934.5828254001774","1595.784736049798","1595.784736049798","1595.784736049798"
"20212","","","","1985.0643338501172","1985.0643338501172","1985.0643338501172","1962.382901571697","1962.382901571697","1962.382901571697","1623.776542269961","1623.776542269961","1623.776542269961"
"20737","","","","1962.1973809749013","1962.1973809749013","1962.1973809749013","1918.9928363473327","1918.9928363473327","1918.9928363473327","1628.8838913647648","1628.8838913647648","1628.8838913647648"
"21262","","","","1940.6937750638117","1940.6937750638117","1940.6937750638117","1898.8538410114163","1898.8538410114163","1898.8538410114163","1578.9414552311998","1578.9414552311998","1578.9414552311998"
"21787","","","","1939.3974646888828","1939.3974646888828","1939.3974646888828","1919.5397724702757","1919.5397724702757","1919.5397724702757","1603.758886235263","1603.758886235263","1603.758886235263"
"22312","","","","1937.204024397755","1937.204024397755","1937.204024397755","1941.430445113676","1941.430445113676","1941.430445113676","1581.977624984747","1581.977624984747","1581.977624984747"
"22837","","","","1950.2523316593822","1950.2523316593822","1950.2523316593822","1924.0861999302174","1924.0861999302174","1924.0861999302174","1583.6398954473145","1583.6398954473145","1583.6398954473145"
"23362","","","","1951.0748337092637","1951.0748337092637","1951.0748337092637","1924.9474760923442","1924.9474760923442","1924.9474760923442","1576.3457266729276","1576.3457266729276","1576.3457266729276"
"23887","","","","1892.4652928188166","1892.4652928188166","1892.4652928188166","1904.3883580962106","1904.3883580962106","1904.3883580962106","1564.3474211845228","1564.3474211845228","1564.3474211845228"
"24412","","","","1931.1327769941022","1931.1327769941022","1931.1327769941022","1901.4740300368978","1901.4740300368978","1901.4740300368978","1568.3860869878763","1568.3860869878763","1568.3860869878763"
"24937","","","","1919.4806400120196","1919.4806400120196","1919.4806400120196","1885.428847895404","1885.428847895404","1885.428847895404","1578.3955955185572","1578.3955955185572","1578.3955955185572"
"25462","","","","1914.855251274449","1914.855251274449","1914.855251274449","1916.6222443092306","1916.6222443092306","1916.6222443092306","1575.104341663744","1575.104341663744","1575.104341663744"
