Nombre de Imagen                         | Real (m)        | Predicho (m)    | Error (m)      
------------------------------------------------------------------------------------------
img_0                                    | 606.00          | 2206.47         | 1600.47        
img_1                                    | 1437.00         | 1939.67         | 502.67         
img_2                                    | 2061.00         | 1784.51         | 276.49         
img_3                                    | 6145.00         | 3986.99         | 2158.01        
img_4                                    | 4249.00         | 5144.76         | 895.76         
img_5                                    | 1057.00         | 4340.04         | 3283.04        
img_6                                    | 712.00          | 2240.64         | 1528.64        
img_7                                    | 2689.00         | 1540.98         | 1148.02        
img_0                                    | 2887.00         | 2590.70         | 296.30         
img_1                                    | 1246.00         | 1530.57         | 284.57         
img_2                                    | 1107.00         | 1100.38         | 6.62           
img_3                                    | 4186.00         | 4374.10         | 188.10         
img_4                                    | 1276.00         | 1380.05         | 104.05         
img_5                                    | 3635.00         | 2261.17         | 1373.83        
img_6                                    | 3195.00         | 2727.21         | 467.79         
img_7                                    | 2136.00         | 1271.36         | 864.64         
img_0                                    | 3970.00         | 4192.04         | 222.04         
img_1                                    | 4210.00         | 4827.90         | 617.90         
img_2                                    | 3545.00         | 7718.56         | 4173.56        
img_3                                    | 1613.00         | 2048.44         | 435.44         
img_4                                    | 1127.00         | 1921.54         | 794.54         
img_5                                    | 1795.00         | 3424.63         | 1629.63        
img_6                                    | 7663.00         | 7016.21         | 646.79         
img_7                                    | 11330.00        | 5064.99         | 6265.01        
img_0                                    | 987.00          | 1053.91         | 66.91          
img_1                                    | 348.00          | 697.04          | 349.04         
img_2                                    | 3510.00         | 2396.92         | 1113.08        
img_3                                    | 2260.00         | 1182.75         | 1077.25        
img_4                                    | 4079.00         | 5656.48         | 1577.48        
img_5                                    | 1129.00         | 3155.37         | 2026.37        
img_6                                    | 1302.00         | 1290.38         | 11.62          
img_7                                    | 1207.00         | 3061.03         | 1854.03        
img_0                                    | 2549.00         | 3133.24         | 584.24         
img_1                                    | 1695.00         | 3080.71         | 1385.71        
img_2                                    | 3943.00         | 2941.62         | 1001.38        
img_3                                    | 2594.00         | 2228.31         | 365.69         
img_4                                    | 8012.00         | 2104.45         | 5907.54        
img_5                                    | 9788.00         | 5497.48         | 4290.52        
img_6                                    | 2591.00         | 1480.61         | 1110.39        
img_7                                    | 8628.00         | 4336.97         | 4291.03        
img_0                                    | 10511.00        | 5820.64         | 4690.36        
img_1                                    | 2201.00         | 1564.49         | 636.51         
img_2                                    | 3362.00         | 6199.77         | 2837.77        
img_3                                    | 1140.00         | 1852.03         | 712.03         
img_4                                    | 1798.00         | 3702.06         | 1904.06        
img_5                                    | 2251.00         | 2797.02         | 546.02         
img_6                                    | 3277.00         | 3632.26         | 355.26         
img_7                                    | 4206.00         | 4792.85         | 586.85         
img_0                                    | 3612.00         | 1860.01         | 1751.99        
img_1                                    | 1169.00         | 1990.58         | 821.58         
img_2                                    | 1179.00         | 689.94          | 489.06         
img_3                                    | 791.00          | 2326.30         | 1535.30        
img_4                                    | 1171.00         | 2387.78         | 1216.78        
img_5                                    | 2457.00         | 3020.02         | 563.02         
img_6                                    | 4688.00         | 5516.65         | 828.65         
img_7                                    | 2181.00         | 1625.32         | 555.68         
img_0                                    | 221.00          | 703.43          | 482.43         
img_1                                    | 2224.00         | 1716.92         | 507.08         
img_2                                    | 2495.00         | 938.51          | 1556.49        
img_3                                    | 539.00          | 448.82          | 90.18          
img_4                                    | 2702.00         | 2288.80         | 413.20         
img_5                                    | 3148.00         | 5558.47         | 2410.47        
img_6                                    | 4401.00         | 4471.06         | 70.06          
img_7                                    | 2497.00         | 1949.55         | 547.45         
img_0                                    | 737.00          | 1974.18         | 1237.18        
img_1                                    | 1036.00         | 3420.28         | 2384.28        
img_2                                    | 250.00          | 1115.93         | 865.93         
img_3                                    | 1516.00         | 2655.47         | 1139.47        
img_4                                    | 4990.00         | 2495.05         | 2494.95        
img_5                                    | 9930.00         | 2129.85         | 7800.15        
img_6                                    | 2060.00         | 1164.80         | 895.20         
img_7                                    | 1728.00         | 1648.12         | 79.88          
img_0                                    | 1342.00         | 1066.76         | 275.24         
img_1                                    | 314.00          | 555.41          | 241.41         
img_2                                    | 2153.00         | 2251.93         | 98.93          
img_3                                    | 4783.00         | 1351.60         | 3431.40        
img_4                                    | 1197.00         | 2657.47         | 1460.47        
img_5                                    | 9131.00         | 8033.44         | 1097.56        
img_6                                    | 2025.00         | 1559.01         | 465.99         
img_7                                    | 1704.00         | 2388.66         | 684.66         
img_0                                    | 4526.00         | 2636.53         | 1889.47        
img_1                                    | 9619.00         | 6498.57         | 3120.43        
img_2                                    | 2476.00         | 1177.14         | 1298.86        
img_3                                    | 1709.00         | 1626.56         | 82.44          
img_4                                    | 263.00          | 75.68           | 187.32         
img_5                                    | 2092.00         | 748.51          | 1343.49        
img_6                                    | 2555.00         | 562.97          | 1992.03        
img_7                                    | 4474.00         | 4672.04         | 198.04         
img_0                                    | 2394.00         | 4585.70         | 2191.70        
img_1                                    | 1585.00         | 3433.48         | 1848.48        
img_2                                    | 4267.00         | 5436.93         | 1169.93        
img_3                                    | 2992.00         | 3788.46         | 796.46         
img_4                                    | 2423.00         | 2168.68         | 254.32         
img_5                                    | 3522.00         | 5973.65         | 2451.65        
img_6                                    | 570.00          | 1297.02         | 727.02         
img_7                                    | 5365.00         | 4516.81         | 848.19         
img_0                                    | 2671.00         | -188.15         | 2859.15        
img_1                                    | 3635.00         | 2335.74         | 1299.26        
img_2                                    | 8510.00         | 1642.02         | 6867.98        
img_3                                    | 1816.00         | 2820.84         | 1004.84        
img_4                                    | 2413.00         | 2130.47         | 282.53         
img_5                                    | 4752.00         | 3783.45         | 968.55         
img_6                                    | 1147.00         | 1325.32         | 178.32         
img_7                                    | 1410.00         | 1164.41         | 245.59         
img_0                                    | 259.00          | 641.40          | 382.40         
img_1                                    | 2769.00         | 3457.83         | 688.83         
img_2                                    | 1456.00         | 1361.54         | 94.46          
img_3                                    | 2360.00         | 3602.85         | 1242.85        
img_4                                    | 4470.00         | 3361.31         | 1108.69        
img_5                                    | 1847.00         | 4824.61         | 2977.61        
img_6                                    | 4284.00         | 4212.02         | 71.98          
img_7                                    | 968.00          | 354.42          | 613.58         
img_0                                    | 1233.00         | 4831.69         | 3598.69        
img_1                                    | 5552.00         | 4333.34         | 1218.66        
img_2                                    | 2359.00         | 5160.38         | 2801.38        
img_3                                    | 634.00          | 1414.83         | 780.83         
img_4                                    | 3680.00         | 5486.44         | 1806.44        
img_5                                    | 7663.00         | 8990.10         | 1327.10        
img_6                                    | 672.00          | 2614.12         | 1942.12        
img_7                                    | 6084.00         | 7601.55         | 1517.55        
img_0                                    | 2634.00         | 3336.59         | 702.59         
img_1                                    | 2396.00         | 2714.98         | 318.98         
img_2                                    | 1258.00         | 1821.45         | 563.45         
img_3                                    | 3030.00         | 1550.58         | 1479.42        
img_4                                    | 10685.00        | 3340.90         | 7344.10        
img_5                                    | 8862.00         | 5032.28         | 3829.72        
img_6                                    | 3689.00         | 3067.64         | 621.36         
img_7                                    | 1259.00         | 2012.88         | 753.88         
img_0                                    | 3641.00         | 1686.76         | 1954.24        
img_1                                    | 4344.00         | 6074.10         | 1730.10        
img_2                                    | 909.00          | 1589.88         | 680.88         
img_3                                    | 2623.00         | 3871.06         | 1248.06        
img_4                                    | 2252.00         | 642.54          | 1609.46        
img_5                                    | 5203.00         | 1839.53         | 3363.47        
img_6                                    | 1765.00         | 4344.96         | 2579.96        
img_7                                    | 10115.00        | 4007.75         | 6107.25        
img_0                                    | 4197.00         | 4834.84         | 637.84         
img_1                                    | 489.00          | 1583.66         | 1094.66        
img_2                                    | 2144.00         | 2469.78         | 325.78         
img_3                                    | 1788.00         | 1361.82         | 426.18         
img_4                                    | 10595.00        | 4513.61         | 6081.39        
img_5                                    | 1529.00         | 1386.42         | 142.58         
img_6                                    | 1034.00         | 4455.87         | 3421.87        
img_7                                    | 3616.00         | 3398.51         | 217.49         
img_0                                    | 1607.00         | 1821.95         | 214.95         
img_1                                    | 1454.00         | 2811.91         | 1357.91        
img_2                                    | 2164.00         | 3000.90         | 836.90         
img_3                                    | 3394.00         | 2634.24         | 759.76         
img_4                                    | 9048.00         | 3399.41         | 5648.59        
img_5                                    | 2659.00         | 1805.44         | 853.56         
img_6                                    | 4268.00         | 3809.88         | 458.12         
img_7                                    | 2289.00         | 869.35          | 1419.65        
img_0                                    | 4675.00         | 2385.92         | 2289.08        
img_1                                    | 9151.00         | 3475.28         | 5675.72        
img_2                                    | 9728.00         | 4725.97         | 5002.03        
img_3                                    | 3942.00         | 2253.34         | 1688.66        
img_4                                    | 1745.00         | 1511.80         | 233.20         
img_5                                    | 1138.00         | 2282.54         | 1144.54        
img_6                                    | 1746.00         | 1759.51         | 13.51          
img_7                                    | 3635.00         | 2615.23         | 1019.77        
img_0                                    | 7656.00         | 5624.67         | 2031.33        
img_1                                    | 991.00          | 2347.17         | 1356.17        
img_2                                    | 1309.00         | 2388.85         | 1079.85        
img_3                                    | 3546.00         | 5784.24         | 2238.24        
img_4                                    | 2287.00         | 3403.92         | 1116.92        
img_5                                    | 551.00          | 1564.05         | 1013.05        
img_6                                    | 1531.00         | 414.40          | 1116.60        
img_7                                    | 4200.00         | 2287.52         | 1912.48        
img_0                                    | 2153.00         | 891.70          | 1261.30        
img_1                                    | 5812.00         | 5794.27         | 17.73          
img_2                                    | 3322.00         | 8927.64         | 5605.64        
img_3                                    | 996.00          | 1550.69         | 554.69         
img_4                                    | 1139.00         | 2450.26         | 1311.26        
img_5                                    | 2296.00         | 2209.52         | 86.48          
img_6                                    | 2449.00         | 3739.47         | 1290.47        
img_7                                    | 9847.00         | 3533.73         | 6313.27        
img_0                                    | 3028.00         | 3286.36         | 258.36         
img_1                                    | 3084.00         | 4344.00         | 1260.00        
img_2                                    | 2108.00         | 1994.82         | 113.18         
img_3                                    | 1104.00         | 1729.83         | 625.83         
img_4                                    | 9660.00         | 5204.68         | 4455.32        
img_5                                    | 3633.00         | 3062.45         | 570.55         
img_6                                    | 1059.00         | 4791.42         | 3732.42        
img_7                                    | 1554.00         | 2387.85         | 833.85         
img_0                                    | 2743.00         | 2027.69         | 715.31         
img_1                                    | 3639.00         | 1594.31         | 2044.69        
img_2                                    | 8225.00         | 3897.96         | 4327.04        
img_3                                    | 1613.00         | 2134.69         | 521.69         
img_4                                    | 610.00          | 2504.54         | 1894.54        
img_5                                    | 2347.00         | 1814.16         | 532.84         
img_6                                    | 1185.00         | 952.72          | 232.28         
img_7                                    | 7957.00         | 7349.65         | 607.35         
img_0                                    | 4518.00         | 2905.46         | 1612.54        
img_1                                    | 2589.00         | 2259.08         | 329.92         
img_2                                    | 1280.00         | 3309.12         | 2029.12        
img_3                                    | 4734.00         | 2028.27         | 2705.73        
img_4                                    | 6582.00         | 5347.44         | 1234.56        
img_5                                    | 1926.00         | 703.70          | 1222.30        
img_6                                    | 5048.00         | 1991.29         | 3056.71        
img_7                                    | 1130.00         | 1993.69         | 863.69         
img_0                                    | 2334.00         | 7668.68         | 5334.68        
img_1                                    | 4934.00         | 2229.93         | 2704.07        
img_2                                    | 548.00          | 2281.87         | 1733.87        
img_3                                    | 1472.00         | 1646.74         | 174.74         
img_4                                    | 2253.00         | 2117.72         | 135.28         
img_5                                    | 3822.00         | 4715.30         | 893.30         
img_6                                    | 1535.00         | 501.51          | 1033.49        
img_7                                    | 2547.00         | 972.21          | 1574.79        
img_0                                    | 8716.00         | 1158.51         | 7557.49        
img_1                                    | 1142.00         | 1482.23         | 340.23         
img_2                                    | 2705.00         | 1070.51         | 1634.49        
img_3                                    | 1434.00         | 9265.67         | 7831.67        
img_4                                    | 1249.00         | 2595.56         | 1346.56        
img_5                                    | 4504.00         | 6140.34         | 1636.34        
img_6                                    | 8723.00         | 2857.61         | 5865.39        
img_7                                    | 4436.00         | 3968.99         | 467.01         
img_0                                    | 320.00          | 1753.09         | 1433.09        
img_1                                    | 1926.00         | 1796.91         | 129.09         
img_2                                    | 1311.00         | 3545.68         | 2234.68        
img_3                                    | 10878.00        | 3352.51         | 7525.49        
img_4                                    | 9983.00         | 1522.19         | 8460.81        
img_5                                    | 1143.00         | 2046.77         | 903.77         
img_6                                    | 10091.00        | 2592.56         | 7498.44        
img_7                                    | 1148.00         | 1472.48         | 324.48         
img_0                                    | 2683.00         | 1830.77         | 852.23         
img_1                                    | 3000.00         | 2417.44         | 582.56         
img_2                                    | 1728.00         | 9686.18         | 7958.18        
img_3                                    | 8462.00         | 3798.15         | 4663.85        
img_4                                    | 2413.00         | 2945.23         | 532.23         
img_5                                    | 4728.00         | 2559.31         | 2168.69        
img_6                                    | 1628.00         | 1464.74         | 163.26         
img_7                                    | 1537.00         | 2885.92         | 1348.92        
img_0                                    | 729.00          | 3445.55         | 2716.55        
img_1                                    | 4681.00         | 2815.63         | 1865.37        
img_2                                    | 10176.00        | 8019.93         | 2156.07        
img_3                                    | 3410.00         | 4860.18         | 1450.18        
img_4                                    | 4270.00         | 4237.55         | 32.45          
img_5                                    | 1750.00         | 1417.08         | 332.92         
img_6                                    | 2048.00         | 2709.45         | 661.45         
img_7                                    | 1328.00         | 1628.43         | 300.43         
img_0                                    | 2192.00         | 240.15          | 1951.85        
img_1                                    | 2898.00         | 1582.19         | 1315.81        
img_2                                    | 780.00          | 437.42          | 342.58         
img_3                                    | 1369.00         | 1446.54         | 77.54          
img_4                                    | 6402.00         | 3340.08         | 3061.92        
img_5                                    | 503.00          | 1439.14         | 936.14         
img_6                                    | 5847.00         | 6128.73         | 281.73         
img_7                                    | 2004.00         | 2153.21         | 149.21         
img_0                                    | 4017.00         | 3954.16         | 62.84          
img_1                                    | 202.00          | 1139.28         | 937.28         
img_2                                    | 8829.00         | 6811.25         | 2017.75        
img_3                                    | 990.00          | 1079.21         | 89.21          
img_4                                    | 1495.00         | 1593.49         | 98.49          
img_5                                    | 3268.00         | 3493.97         | 225.97         
img_6                                    | 8322.00         | 9866.00         | 1544.00        
img_7                                    | 1814.00         | 8803.90         | 6989.90        
img_0                                    | 1415.00         | 897.78          | 517.22         
img_1                                    | 2483.00         | 2503.48         | 20.48          
img_2                                    | 1648.00         | 2610.73         | 962.73         
img_3                                    | 2041.00         | 6456.73         | 4415.73        
img_4                                    | 1809.00         | 2428.52         | 619.52         
img_5                                    | 2444.00         | 5761.97         | 3317.97        
img_6                                    | 3458.00         | 4725.51         | 1267.51        
img_7                                    | 1756.00         | 1746.26         | 9.74           
img_0                                    | 1795.00         | 2643.47         | 848.47         
img_1                                    | 4191.00         | 1749.03         | 2441.97        
img_2                                    | 2192.00         | 2389.77         | 197.77         
img_3                                    | 2030.00         | 3005.92         | 975.92         
img_4                                    | 2768.00         | 2517.42         | 250.58         
img_5                                    | 3848.00         | 2387.76         | 1460.24        
img_6                                    | 1937.00         | 1875.59         | 61.41          
img_7                                    | 2770.00         | 4316.57         | 1546.57        
img_0                                    | 2769.00         | 1985.25         | 783.75         
img_1                                    | 1616.00         | 3246.65         | 1630.65        
img_2                                    | 1546.00         | 2252.02         | 706.02         
img_3                                    | 2044.00         | 2439.06         | 395.06         
img_4                                    | 1111.00         | 1603.31         | 492.31         
img_5                                    | 8112.00         | 5159.84         | 2952.16        
img_6                                    | 4006.00         | 4473.07         | 467.07         
img_7                                    | 1726.00         | 2988.96         | 1262.96        
img_0                                    | 2783.00         | 2382.94         | 400.06         
img_1                                    | 3927.00         | 3492.79         | 434.21         
img_2                                    | 2087.00         | 2127.85         | 40.85          
img_3                                    | 798.00          | 748.03          | 49.97          
img_4                                    | 6842.00         | 3119.93         | 3722.07        
img_5                                    | 4287.00         | 3610.47         | 676.53         
img_6                                    | 3337.00         | 3289.03         | 47.97          
img_7                                    | 2134.00         | 3059.27         | 925.27         
img_0                                    | 1164.00         | 1036.83         | 127.17         
img_1                                    | 2629.00         | 3224.40         | 595.40         
img_2                                    | 5556.00         | 2961.66         | 2594.34        
img_3                                    | 2650.00         | 5145.48         | 2495.48        
img_4                                    | 1634.00         | 3192.27         | 1558.27        
img_5                                    | 5199.00         | 2972.08         | 2226.92        
img_6                                    | 1109.00         | 1503.53         | 394.53         
img_7                                    | 8707.00         | 8236.42         | 470.58         
img_0                                    | 2405.00         | 3583.56         | 1178.56        
img_1                                    | 4245.00         | 5168.83         | 923.83         
img_2                                    | 2128.00         | 3038.85         | 910.85         
img_3                                    | 2331.00         | 1282.10         | 1048.90        
img_4                                    | 1990.00         | 2976.95         | 986.95         
img_5                                    | 1849.00         | 1720.68         | 128.32         
img_6                                    | 2164.00         | 1446.23         | 717.77         
img_7                                    | 7532.00         | 6622.25         | 909.75         
img_0                                    | 2750.00         | 2954.23         | 204.23         
img_1                                    | 1807.00         | 1680.71         | 126.29         
img_2                                    | 2213.00         | 2773.83         | 560.83         
img_3                                    | 2059.00         | 1897.28         | 161.72         
img_4                                    | 1308.00         | 1009.48         | 298.52         
img_5                                    | 1117.00         | 1833.53         | 716.53         
