"Step","test-model_231757 - Train RMSE (meters)","test-model_231757 - Train RMSE (meters)__MIN","test-model_231757 - Train RMSE (meters)__MAX"
"1","1.476658247815338","1.476658247815338","1.476658247815338"
"11","1.4135688636691528","1.4135688636691528","1.4135688636691528"
"19","1.1019666214542045","1.1019666214542045","1.1019666214542045"
"23","0.9567338753949538","0.9567338753949538","0.9567338753949538"
"29","1.6233996800853663","1.6233996800853663","1.6233996800853663"
"33","1.2192637998868825","1.2192637998868825","1.2192637998868825"
"35","1.419056540827198","1.419056540827198","1.419056540827198"
"37","1.3319891422361878","1.3319891422361878","1.3319891422361878"
"39","1.5898643698515027","1.5898643698515027","1.5898643698515027"
"43","1.0654149181205912","1.0654149181205912","1.0654149181205912"
"51","1.3393653482649208","1.3393653482649208","1.3393653482649208"
"53","0.7808945037741191","0.7808945037741191","0.7808945037741191"
"67","1.1296573239170231","1.1296573239170231","1.1296573239170231"
"69","1.1742902661624155","1.1742902661624155","1.1742902661624155"
"71","0.6709372829868657","0.6709372829868657","0.6709372829868657"
"73","0.9277461001006599","0.9277461001006599","0.9277461001006599"
"79","0.8029828580354422","0.8029828580354422","0.8029828580354422"
"85","1.055314393407531","1.055314393407531","1.055314393407531"
"89","1.4568464146595455","1.4568464146595455","1.4568464146595455"
"93","1.3281457338397666","1.3281457338397666","1.3281457338397666"
"97","1.5792907337311803","1.5792907337311803","1.5792907337311803"
"101","1.2823531821168856","1.2823531821168856","1.2823531821168856"
"103","1.0816488864262193","1.0816488864262193","1.0816488864262193"
"105","0.6758082830942588","0.6758082830942588","0.6758082830942588"
"113","1.0339526394598821","1.0339526394598821","1.0339526394598821"
"115","1.3193335430764495","1.3193335430764495","1.3193335430764495"
"117","1.3150821897980645","1.3150821897980645","1.3150821897980645"
"119","0.841943396187945","0.841943396187945","0.841943396187945"
"125","1.4109007753512144","1.4109007753512144","1.4109007753512144"
"127","0.7536559010439344","0.7536559010439344","0.7536559010439344"
"133","1.420919159938024","1.420919159938024","1.420919159938024"
"137","1.1111918333983863","1.1111918333983863","1.1111918333983863"
"141","0.9438039233737081","0.9438039233737081","0.9438039233737081"
"143","1.4096238671471015","1.4096238671471015","1.4096238671471015"
"145","1.0232840270073034","1.0232840270073034","1.0232840270073034"
"147","1.0737911968743565","1.0737911968743565","1.0737911968743565"
"149","1.1368695450746804","1.1368695450746804","1.1368695450746804"
"153","1.1200135240419489","1.1200135240419489","1.1200135240419489"
"155","0.9730117025798771","0.9730117025798771","0.9730117025798771"
"159","0.8416072693881591","0.8416072693881591","0.8416072693881591"
"165","1.2790038726962754","1.2790038726962754","1.2790038726962754"
