"Step","test-model_062021 - Train RMSE (meters)","test-model_062021 - Train RMSE (meters)__MIN","test-model_062021 - Train RMSE (meters)__MAX"
"1","16303.408957829655","16303.408957829655","16303.408957829655"
"3","11843.517130069678","11843.517130069678","11843.517130069678"
"7","9861.580881531441","9861.580881531441","9861.580881531441"
"9","10817.265821848636","10817.265821848636","10817.265821848636"
"11","11979.207024990044","11979.207024990044","11979.207024990044"
"15","12743.927818655471","12743.927818655471","12743.927818655471"
"17","16595.196389705383","16595.196389705383","16595.196389705383"
"19","9331.95691659926","9331.95691659926","9331.95691659926"
"21","11164.917813659293","11164.917813659293","11164.917813659293"
"23","7414.355835975462","7414.355835975462","7414.355835975462"
"25","10685.098880279951","10685.098880279951","10685.098880279951"
"29","13716.804140467339","13716.804140467339","13716.804140467339"
"31","5909.628703997023","5909.628703997023","5909.628703997023"
"33","7793.098391264828","7793.098391264828","7793.098391264828"
"35","12053.451365927522","12053.451365927522","12053.451365927522"
"37","13878.480423187963","13878.480423187963","13878.480423187963"
"39","11454.161780504222","11454.161780504222","11454.161780504222"
"41","10598.179681592683","10598.179681592683","10598.179681592683"
"43","8830.133395326842","8830.133395326842","8830.133395326842"
"45","11951.662859281496","11951.662859281496","11951.662859281496"
"47","11581.984933178363","11581.984933178363","11581.984933178363"
"49","15364.914540314787","15364.914540314787","15364.914540314787"
"51","14042.387248641455","14042.387248641455","14042.387248641455"
"53","8105.20180871617","8105.20180871617","8105.20180871617"
"55","12459.616755505014","12459.616755505014","12459.616755505014"
"57","9007.192744219228","9007.192744219228","9007.192744219228"
"59","11213.711385451019","11213.711385451019","11213.711385451019"
"61","14598.654827438415","14598.654827438415","14598.654827438415"
"63","11757.358783066096","11757.358783066096","11757.358783066096"
"65","10521.017519909177","10521.017519909177","10521.017519909177"
"67","9677.88465211906","9677.88465211906","9677.88465211906"
"69","12251.735525389626","12251.735525389626","12251.735525389626"
"71","10080.783700298654","10080.783700298654","10080.783700298654"
"73","9938.956747705342","9938.956747705342","9938.956747705342"
"75","10555.240280618524","10555.240280618524","10555.240280618524"
"77","10950.249461811793","10950.249461811793","10950.249461811793"
"79","8873.272123171051","8873.272123171051","8873.272123171051"
"81","11041.566860299707","11041.566860299707","11041.566860299707"
"83","11031.748557779289","11031.748557779289","11031.748557779289"
"85","11425.234528853516","11425.234528853516","11425.234528853516"
"87","11851.3006333532","11851.3006333532","11851.3006333532"
"89","12088.399625198723","12088.399625198723","12088.399625198723"
"91","7849.058824354477","7849.058824354477","7849.058824354477"
"93","12920.962613978349","12920.962613978349","12920.962613978349"
"95","9332.850117322598","9332.850117322598","9332.850117322598"
"97","16017.025770011482","16017.025770011482","16017.025770011482"
"101","11237.887113393534","11237.887113393534","11237.887113393534"
"103","11803.18499431962","11803.18499431962","11803.18499431962"
"105","8639.884572096951","8639.884572096951","8639.884572096951"
"107","8073.610501570341","8073.610501570341","8073.610501570341"
"109","12120.124721609282","12120.124721609282","12120.124721609282"
"111","12354.54763089908","12354.54763089908","12354.54763089908"
"113","8513.75944368642","8513.75944368642","8513.75944368642"
"115","13980.454476054245","13980.454476054245","13980.454476054245"
"117","13740.236977778271","13740.236977778271","13740.236977778271"
