"Step","test-model_062021 - Val RMSE Validación (metros)","test-model_062021 - Val RMSE Validación (metros)__MIN","test-model_062021 - Val RMSE Validación (metros)__MAX"
"230","8645.356274747643","8645.356274747643","8645.356274747643"
"691","6568.3737364662375","6568.3737364662375","6568.3737364662375"
"1152","3933.1141861274914","3933.1141861274914","3933.1141861274914"
"1613","2437.9384143760694","2437.9384143760694","2437.9384143760694"
"2074","2283.0863972278194","2283.0863972278194","2283.0863972278194"
"2535","2599.1317372748726","2599.1317372748726","2599.1317372748726"
"2996","2199.086123672652","2199.086123672652","2199.086123672652"
"3457","2318.0627976994524","2318.0627976994524","2318.0627976994524"
"3918","2850.449067825657","2850.449067825657","2850.449067825657"
"4379","2293.4421734138614","2293.4421734138614","2293.4421734138614"
"4840","2369.4616642208607","2369.4616642208607","2369.4616642208607"
"5301","2150.662423923682","2150.662423923682","2150.662423923682"
"5762","2200.9888458239266","2200.9888458239266","2200.9888458239266"
"6223","2104.1288448026958","2104.1288448026958","2104.1288448026958"
"6684","2182.056683203964","2182.056683203964","2182.056683203964"
"7145","2168.3066662450406","2168.3066662450406","2168.3066662450406"
"7606","2111.3717679078773","2111.3717679078773","2111.3717679078773"
"8067","2800.312411741225","2800.312411741225","2800.312411741225"
"8528","2111.4651757837464","2111.4651757837464","2111.4651757837464"
"8989","2122.355873201751","2122.355873201751","2122.355873201751"
"9450","1918.5824057427658","1918.5824057427658","1918.5824057427658"
"9911","1954.2041965719552","1954.2041965719552","1954.2041965719552"
"10372","1961.6404455022248","1961.6404455022248","1961.6404455022248"
"10833","2354.1597238901595","2354.1597238901595","2354.1597238901595"
"11294","2033.2704365863606","2033.2704365863606","2033.2704365863606"
"11755","1958.2405943560864","1958.2405943560864","1958.2405943560864"
"12216","1906.5144224518103","1906.5144224518103","1906.5144224518103"
"12677","1967.9372800646256","1967.9372800646256","1967.9372800646256"
"13138","1902.3297830165923","1902.3297830165923","1902.3297830165923"
"13599","1934.6773916177528","1934.6773916177528","1934.6773916177528"
"14060","1912.4577382412033","1912.4577382412033","1912.4577382412033"
"14521","1903.913186882311","1903.913186882311","1903.913186882311"
"14982","1847.7997409572188","1847.7997409572188","1847.7997409572188"
"15443","2044.1146742969138","2044.1146742969138","2044.1146742969138"
"15904","2011.3843300533981","2011.3843300533981","2011.3843300533981"
"16365","1867.3458122912223","1867.3458122912223","1867.3458122912223"
"16826","1890.5118221583991","1890.5118221583991","1890.5118221583991"
"17287","1974.8657715506788","1974.8657715506788","1974.8657715506788"
"17748","1855.1688180797507","1855.1688180797507","1855.1688180797507"
"18209","2060.373934846936","2060.373934846936","2060.373934846936"
"18670","1877.6556121305534","1877.6556121305534","1877.6556121305534"
"19131","1905.6160172049176","1905.6160172049176","1905.6160172049176"
"19592","1907.8789796832814","1907.8789796832814","1907.8789796832814"
"20053","1889.7100168083193","1889.7100168083193","1889.7100168083193"
"20514","1977.0453428562273","1977.0453428562273","1977.0453428562273"
"20975","1926.993511047744","1926.993511047744","1926.993511047744"
"21436","1930.4331167270273","1930.4331167270273","1930.4331167270273"
"21897","1941.9693810190836","1941.9693810190836","1941.9693810190836"
"22358","1919.1840057443758","1919.1840057443758","1919.1840057443758"
"22819","1879.5131434561933","1879.5131434561933","1879.5131434561933"
"23050","1954.8484306645128","1954.8484306645128","1954.8484306645128"
