"Step","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"1","15023.021515687695","15023.021515687695","15023.021515687695"
"3","14171.70444373277","14171.70444373277","14171.70444373277"
"7","9033.376331215282","9033.376331215282","9033.376331215282"
"9","14376.037394367253","14376.037394367253","14376.037394367253"
"11","15468.921082446443","15468.921082446443","15468.921082446443"
"15","15055.8457297733","15055.8457297733","15055.8457297733"
"17","16486.303569195596","16486.303569195596","16486.303569195596"
"19","10881.67877754764","10881.67877754764","10881.67877754764"
"21","8843.80669457693","8843.80669457693","8843.80669457693"
"23","15154.124632007839","15154.124632007839","15154.124632007839"
"25","13340.775777000916","13340.775777000916","13340.775777000916"
"29","12994.191596090188","12994.191596090188","12994.191596090188"
"31","11569.766776784896","11569.766776784896","11569.766776784896"
"33","8260.982832361255","8260.982832361255","8260.982832361255"
"35","12142.245072878866","12142.245072878866","12142.245072878866"
"37","15325.093442996034","15325.093442996034","15325.093442996034"
"39","14820.536883741386","14820.536883741386","14820.536883741386"
"41","11671.306958859821","11671.306958859821","11671.306958859821"
"43","9993.315190917383","9993.315190917383","9993.315190917383"
"45","8744.95735640077","8744.95735640077","8744.95735640077"
"51","16549.87717896955","16549.87717896955","16549.87717896955"
"53","13212.338003935674","13212.338003935674","13212.338003935674"
"55","10906.561008161543","10906.561008161543","10906.561008161543"
"57","14534.773860782356","14534.773860782356","14534.773860782356"
"59","12973.055756713953","12973.055756713953","12973.055756713953"
"61","14594.816409894069","14594.816409894069","14594.816409894069"
"63","16377.961975578974","16377.961975578974","16377.961975578974"
"65","12875.87240652199","12875.87240652199","12875.87240652199"
"67","13731.28310674011","13731.28310674011","13731.28310674011"
"69","15187.377426845911","15187.377426845911","15187.377426845911"
"71","4912.774285577374","4912.774285577374","4912.774285577374"
"73","14684.722313078699","14684.722313078699","14684.722313078699"
"77","11813.75975173614","11813.75975173614","11813.75975173614"
"79","11181.161928549676","11181.161928549676","11181.161928549676"
"81","13965.538594492264","13965.538594492264","13965.538594492264"
"83","8289.153088677758","8289.153088677758","8289.153088677758"
"85","15585.25829699598","15585.25829699598","15585.25829699598"
"87","8675.430531220833","8675.430531220833","8675.430531220833"
"89","9999.715979834273","9999.715979834273","9999.715979834273"
"91","9513.358536824784","9513.358536824784","9513.358536824784"
"93","14668.47912831266","14668.47912831266","14668.47912831266"
"95","10466.440999479582","10466.440999479582","10466.440999479582"
"97","15258.621092825491","15258.621092825491","15258.621092825491"
"101","10876.34619788332","10876.34619788332","10876.34619788332"
"103","13274.803841213816","13274.803841213816","13274.803841213816"
"105","8855.88173056838","8855.88173056838","8855.88173056838"
"107","14307.228883490507","14307.228883490507","14307.228883490507"
"109","10778.465464261702","10778.465464261702","10778.465464261702"
"111","9712.041716889806","9712.041716889806","9712.041716889806"
"113","11521.839612963895","11521.839612963895","11521.839612963895"
"115","15261.134975917545","15261.134975917545","15261.134975917545"
"117","11555.019742716911","11555.019742716911","11555.019742716911"
"119","11401.114156721149","11401.114156721149","11401.114156721149"
"121","11187.113259732829","11187.113259732829","11187.113259732829"
"125","13299.320717724157","13299.320717724157","13299.320717724157"
"127","9364.396774815597","9364.396774815597","9364.396774815597"
"129","12259.192754327767","12259.192754327767","12259.192754327767"
"131","12384.865768068647","12384.865768068647","12384.865768068647"
"133","11064.736479643456","11064.736479643456","11064.736479643456"
"135","9935.958358855534","9935.958358855534","9935.958358855534"
"137","9761.891681410945","9761.891681410945","9761.891681410945"
"139","16540.612207173905","16540.612207173905","16540.612207173905"
"141","14224.416421139134","14224.416421139134","14224.416421139134"
"143","15557.406898108391","15557.406898108391","15557.406898108391"
"145","11438.674303649952","11438.674303649952","11438.674303649952"
"147","11223.055573850055","11223.055573850055","11223.055573850055"
"149","9362.313269470682","9362.313269470682","9362.313269470682"
"151","14783.656499026254","14783.656499026254","14783.656499026254"
"153","10561.674683960957","10561.674683960957","10561.674683960957"
"155","12792.582032859664","12792.582032859664","12792.582032859664"
"159","6556.1268150313845","6556.1268150313845","6556.1268150313845"
"163","11325.08493606346","11325.08493606346","11325.08493606346"
"165","18898.35539630845","18898.35539630845","18898.35539630845"
"167","9224.139109297028","9224.139109297028","9224.139109297028"
"169","15319.140804290868","15319.140804290868","15319.140804290868"
"171","17241.02079577785","17241.02079577785","17241.02079577785"
"173","14033.164048853912","14033.164048853912","14033.164048853912"
"175","12735.732304606388","12735.732304606388","12735.732304606388"
"177","5705.3762721716","5705.3762721716","5705.3762721716"
"179","11439.655455222597","11439.655455222597","11439.655455222597"
"181","14696.902248414897","14696.902248414897","14696.902248414897"
"183","15763.85218895642","15763.85218895642","15763.85218895642"
"187","9581.911492950358","9581.911492950358","9581.911492950358"
"189","14134.349800541147","14134.349800541147","14134.349800541147"
"191","12125.95290932626","12125.95290932626","12125.95290932626"
"193","14138.763052241537","14138.763052241537","14138.763052241537"
"195","11828.945600095121","11828.945600095121","11828.945600095121"
"197","13412.18604425193","13412.18604425193","13412.18604425193"
"199","12549.12925982311","12549.12925982311","12549.12925982311"
"201","12366.3094956538","12366.3094956538","12366.3094956538"
"203","11895.642659295416","11895.642659295416","11895.642659295416"
"205","9565.725979152052","9565.725979152052","9565.725979152052"
"207","14309.55085188143","14309.55085188143","14309.55085188143"
"209","10719.157553173187","10719.157553173187","10719.157553173187"
"211","12468.016715226091","12468.016715226091","12468.016715226091"
"215","11197.779573296277","11197.779573296277","11197.779573296277"
"217","14200.780223849128","14200.780223849128","14200.780223849128"
"219","12969.309323670182","12969.309323670182","12969.309323670182"
"223","16025.132497397426","16025.132497397426","16025.132497397426"
"225","13108.764325037047","13108.764325037047","13108.764325037047"
"229","11592.722392232934","11592.722392232934","11592.722392232934"
"233","7293.689628815395","7293.689628815395","7293.689628815395"
"235","11644.52660223642","11644.52660223642","11644.52660223642"
"237","11109.994626906611","11109.994626906611","11109.994626906611"
"241","9748.160041911922","9748.160041911922","9748.160041911922"
"243","8949.990194730875","8949.990194730875","8949.990194730875"
"245","11423.12878199506","11423.12878199506","11423.12878199506"
"247","11303.16516720377","11303.16516720377","11303.16516720377"
"249","13199.270464504298","13199.270464504298","13199.270464504298"
"251","8762.648160283186","8762.648160283186","8762.648160283186"
"253","10860.531971725064","10860.531971725064","10860.531971725064"
"255","9839.175841835879","9839.175841835879","9839.175841835879"
"257","11307.853186938588","11307.853186938588","11307.853186938588"
"261","7631.951134142394","7631.951134142394","7631.951134142394"
"264","11860.897323345373","11860.897323345373","11860.897323345373"
"268","16721.95190001378","16721.95190001378","16721.95190001378"
"270","10257.195226802787","10257.195226802787","10257.195226802787"
"272","13552.665449693679","13552.665449693679","13552.665449693679"
"274","10881.207152604917","10881.207152604917","10881.207152604917"
"278","9366.093855670862","9366.093855670862","9366.093855670862"
"280","8134.299971314723","8134.299971314723","8134.299971314723"
"286","10325.53282741445","10325.53282741445","10325.53282741445"
"288","13532.756906520075","13532.756906520075","13532.756906520075"
"292","9373.99127619675","9373.99127619675","9373.99127619675"
"294","11800.868893007153","11800.868893007153","11800.868893007153"
"298","12046.412042214906","12046.412042214906","12046.412042214906"
"300","11356.580576811557","11356.580576811557","11356.580576811557"
"302","7129.667058610675","7129.667058610675","7129.667058610675"
"306","9104.869061805852","9104.869061805852","9104.869061805852"
"308","15106.806381894838","15106.806381894838","15106.806381894838"
"310","6126.048737874129","6126.048737874129","6126.048737874129"
"312","13755.18094336563","13755.18094336563","13755.18094336563"
"314","10947.500289321133","10947.500289321133","10947.500289321133"
"316","10843.083627766888","10843.083627766888","10843.083627766888"
"318","14320.960263816376","14320.960263816376","14320.960263816376"
"320","8918.314007672985","8918.314007672985","8918.314007672985"
"322","10757.812234051602","10757.812234051602","10757.812234051602"
"326","12640.032797994192","12640.032797994192","12640.032797994192"
"328","15731.235982762102","15731.235982762102","15731.235982762102"
"330","11881.208302737235","11881.208302737235","11881.208302737235"
"334","10736.907771235003","10736.907771235003","10736.907771235003"
"336","12134.375575299167","12134.375575299167","12134.375575299167"
"338","9079.274733415094","9079.274733415094","9079.274733415094"
"340","13940.364697199646","13940.364697199646","13940.364697199646"
"342","14106.617283127729","14106.617283127729","14106.617283127729"
"344","18399.41066751833","18399.41066751833","18399.41066751833"
"346","9912.782843500234","9912.782843500234","9912.782843500234"
"348","14683.153848637186","14683.153848637186","14683.153848637186"
"350","11435.297727924784","11435.297727924784","11435.297727924784"
"352","10177.151812840686","10177.151812840686","10177.151812840686"
"354","11668.969279079549","11668.969279079549","11668.969279079549"
"356","14083.120698094826","14083.120698094826","14083.120698094826"
"364","13751.230184837083","13751.230184837083","13751.230184837083"
"366","10782.504354290753","10782.504354290753","10782.504354290753"
"368","11236.678289258256","11236.678289258256","11236.678289258256"
"370","16022.84189769835","16022.84189769835","16022.84189769835"
"372","10610.505483452704","10610.505483452704","10610.505483452704"
"376","13615.855954540148","13615.855954540148","13615.855954540148"
"380","11289.61053593797","11289.61053593797","11289.61053593797"
"384","13662.450975642501","13662.450975642501","13662.450975642501"
"386","7628.858965577271","7628.858965577271","7628.858965577271"
"388","15639.7444775384","15639.7444775384","15639.7444775384"
"390","14227.741458649021","14227.741458649021","14227.741458649021"
"392","16387.625886272104","16387.625886272104","16387.625886272104"
"394","14734.950421485815","14734.950421485815","14734.950421485815"
"396","15045.93016132787","15045.93016132787","15045.93016132787"
"404","11908.22170481985","11908.22170481985","11908.22170481985"
"406","11694.068857858309","11694.068857858309","11694.068857858309"
"408","11597.210103001356","11597.210103001356","11597.210103001356"
"410","13448.326717224902","13448.326717224902","13448.326717224902"
"416","11119.469393036348","11119.469393036348","11119.469393036348"
"420","13105.390522889666","13105.390522889666","13105.390522889666"
"424","13555.010261320693","13555.010261320693","13555.010261320693"
"428","13354.786313460052","13354.786313460052","13354.786313460052"
"434","11018.870531657341","11018.870531657341","11018.870531657341"
"436","15677.117213553722","15677.117213553722","15677.117213553722"
"440","10537.413132242742","10537.413132242742","10537.413132242742"
"442","11572.881625878099","11572.881625878099","11572.881625878099"
"444","13390.40621174821","13390.40621174821","13390.40621174821"
"446","7421.100776846539","7421.100776846539","7421.100776846539"
"448","9621.810310247902","9621.810310247902","9621.810310247902"
"450","9672.521270704903","9672.521270704903","9672.521270704903"
"452","14688.18094825859","14688.18094825859","14688.18094825859"
"454","13791.82177376707","13791.82177376707","13791.82177376707"
"456","9088.109433335456","9088.109433335456","9088.109433335456"
"458","11812.427702182957","11812.427702182957","11812.427702182957"
"460","12027.259759464112","12027.259759464112","12027.259759464112"
