"Step","test-model_051324 - Val RMSE Validación (metros)","test-model_051324 - Val RMSE Validación (metros)__MIN","test-model_051324 - Val RMSE Validación (metros)__MAX"
"262","12019.357735792391","12019.357735792391","12019.357735792391"
"787","9643.688314372353","9643.688314372353","9643.688314372353"
"1312","6216.670428697956","6216.670428697956","6216.670428697956"
"1837","2729.260145690979","2729.260145690979","2729.260145690979"
"2362","3025.7951729374263","3025.7951729374263","3025.7951729374263"
"2887","2111.6704784420813","2111.6704784420813","2111.6704784420813"
"3412","2021.4368036598314","2021.4368036598314","2021.4368036598314"
"3937","1961.7291819548725","1961.7291819548725","1961.7291819548725"
"4462","1850.2431191602902","1850.2431191602902","1850.2431191602902"
"4987","1728.9638019841332","1728.9638019841332","1728.9638019841332"
"5512","1950.5259371253717","1950.5259371253717","1950.5259371253717"
"6037","1773.612824824221","1773.612824824221","1773.612824824221"
"6562","1921.890492272053","1921.890492272053","1921.890492272053"
"7087","1930.0478380451757","1930.0478380451757","1930.0478380451757"
"7612","1816.8000657389484","1816.8000657389484","1816.8000657389484"
"8137","1740.247462219642","1740.247462219642","1740.247462219642"
"8662","1736.4804164191264","1736.4804164191264","1736.4804164191264"
"9187","1821.8476005862578","1821.8476005862578","1821.8476005862578"
"9712","1657.324529065704","1657.324529065704","1657.324529065704"
"10237","1723.6662842684514","1723.6662842684514","1723.6662842684514"
"10762","1629.5048189511804","1629.5048189511804","1629.5048189511804"
"11287","1644.2232121669404","1644.2232121669404","1644.2232121669404"
"11812","1635.9767842761328","1635.9767842761328","1635.9767842761328"
"12337","1613.0219668300215","1613.0219668300215","1613.0219668300215"
"12862","1592.5675028677674","1592.5675028677674","1592.5675028677674"
"13387","1578.3321484508047","1578.3321484508047","1578.3321484508047"
"13912","1598.8860613339452","1598.8860613339452","1598.8860613339452"
"14437","1597.711623935599","1597.711623935599","1597.711623935599"
"14962","1614.5661764372614","1614.5661764372614","1614.5661764372614"
"15487","1569.3256273643085","1569.3256273643085","1569.3256273643085"
"16012","1585.7436114298164","1585.7436114298164","1585.7436114298164"
"16537","1580.387773014977","1580.387773014977","1580.387773014977"
"17062","1566.880249625563","1566.880249625563","1566.880249625563"
"17587","1582.7565596399636","1582.7565596399636","1582.7565596399636"
"18112","1623.4480922817747","1623.4480922817747","1623.4480922817747"
"18637","1585.0129262842293","1585.0129262842293","1585.0129262842293"
"19162","1598.2541606092448","1598.2541606092448","1598.2541606092448"
"19687","1595.784736049798","1595.784736049798","1595.784736049798"
"20212","1623.776542269961","1623.776542269961","1623.776542269961"
"20737","1628.8838913647648","1628.8838913647648","1628.8838913647648"
"21262","1578.9414552311998","1578.9414552311998","1578.9414552311998"
"21787","1603.758886235263","1603.758886235263","1603.758886235263"
"22312","1581.977624984747","1581.977624984747","1581.977624984747"
"22837","1583.6398954473145","1583.6398954473145","1583.6398954473145"
"23362","1576.3457266729276","1576.3457266729276","1576.3457266729276"
"23887","1564.3474211845228","1564.3474211845228","1564.3474211845228"
"24412","1568.3860869878763","1568.3860869878763","1568.3860869878763"
"24937","1578.3955955185572","1578.3955955185572","1578.3955955185572"
"25462","1575.104341663744","1575.104341663744","1575.104341663744"
"25987","1569.7674653394035","1569.7674653394035","1569.7674653394035"
"26250","1570.0128096042492","1570.0128096042492","1570.0128096042492"
